NEW_TYPE,大类,中类,小类
190305,地名地址信息,交通地名,高速路入口
190306,地名地址信息,交通地名,立交桥
190307,地名地址信息,交通地名,桥
190308,地名地址信息,交通地名,城市快速路出口
190309,地名地址信息,交通地名,城市快速路入口
190310,地名地址信息,交通地名,隧道
190311,地名地址信息,交通地名,铁路
190400,地名地址信息,门牌信息,门牌信息
190401,地名地址信息,门牌信息,地名门牌
190402,地名地址信息,门牌信息,道路门牌
190403,地名地址信息,门牌信息,楼栋号
190500,地名地址信息,市中心,城市中心
190600,地名地址信息,标志性建筑物,标志性建筑物
190700,地名地址信息,热点地名,热点地名
200000,公共设施,公共设施,公共设施
200100,公共设施,报刊亭,报刊亭
200200,公共设施,公用电话,公用电话
200300,公共设施,公共厕所,公共厕所
200301,公共设施,公共厕所,男洗手间
200302,公共设施,公共厕所,女洗手间
200303,公共设施,公共厕所,残障洗手间/无障碍洗手间
200304,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室
200400,公共设施,紧急避难场所,紧急避难场所
220000,事件活动,事件活动,事件活动
220100,事件活动,公众活动,公众活动
220101,事件活动,公众活动,节日庆典
220102,事件活动,公众活动,展会展览
220103,事件活动,公众活动,体育赛事
220104,事件活动,公众活动,文艺演出
220105,事件活动,公众活动,大型会议
220106,事件活动,公众活动,运营活动
220107,事件活动,公众活动,商场活动
220200,事件活动,突发事件,突发事件
220201,事件活动,突发事件,自然灾害
220202,事件活动,突发事件,事故灾难
220203,事件活动,突发事件,城市新闻
220204,事件活动,突发事件,公共卫生事件
220205,事件活动,突发事件,公共社会事件
970000,室内设施,室内设施,室内设施
990000,通行设施,通行设施,通行设施
991000,通行设施,建筑物门,建筑物门
991001,通行设施,建筑物门,建筑物正门
991400,通行设施,临街院门,临街院门
991401,通行设施,临街院门,临街院正门
991500,通行设施,虚拟门,虚拟门
991600,通行设施,特殊通道,特殊通道
991601,通行设施,特殊通道,无障碍电梯
